Suburb,Crashes Since 2020,Population (2021 Census),Mobile,DDS,Fixed,Total,Median_Personal_Inc_Weekly,Gender_Ratio_M_F,Vehicles_0,Vehicles_1,Vehicles_2,Vehicles_3,Vehicles_4plus,Total_Vehicles,Percentage no vehicle,Lab_Force_Participation_Pct,Top_Non_AU_Ancestry_Pct,Tram Stops,V-Line Train,Bus Routes,Bus Stops.1,Metro Train,Train Lines,lgaregion,Cameras_Per_1000,Schools_Total,Schools_Govt,Schools_Primary,Schools_Secondary
BEAUMARIS,31.0,13947.0,2.0,0.0,0.0,2.0,1044.0,0.924,145.0,1414.0,2344.0,698.0,365.0,4960.0,2.9,62.9000015258789,42.6,0.0,0.0,6.0,66.0,,,Bayside (Vic.),0.14,4,3,3,1
BIRCHIP,7.0,694.0,2.0,0.0,0.0,2.0,740.0,0.9886,19.0,95.0,109.0,38.0,31.0,284.0,6.7,55.7000007629395,36.5,0.0,0.0,1.0,1.0,,,Buloke,2.88,1,1,0,0
BLACK ROCK,94.0,6389.0,2.0,0.0,0.0,2.0,1067.0,0.9209,78.0,860.0,1088.0,286.0,153.0,2462.0,3.2,61.0999984741211,40.8,0.0,0.0,4.0,26.0,,,Bayside (Vic.),0.31,1,1,1,0
BLACKBURN NORTH,144.0,7627.0,2.0,0.0,0.0,2.0,822.0,0.9526,139.0,935.0,1171.0,269.0,154.0,2670.0,5.2,64.8000030517578,25.1,0.0,0.0,7.0,40.0,,,Whitehorse,0.26,3,2,3,0
BONNIE DOON,51.0,666.0,2.0,0.0,0.0,2.0,662.0,1.1083,5.0,71.0,118.0,59.0,22.0,273.0,1.8,56.5999984741211,34.1,0.0,0.0,1.0,2.0,,,Mansfield,3.0,0,0,0,0
BOWSER,0.0,44.0,2.0,0.0,0.0,2.0,537.0,0.4815,0.0,5.0,0.0,0.0,0.0,9.0,0.0,71.4000015258789,22.7,0.0,0.0,0.0,0.0,,,Moira,45.45,0,0,0,0
BOX HILL,0.0,14353.0,2.0,0.0,4.0,6.0,627.0,0.9418,1395.0,3034.0,1108.0,248.0,90.0,5879.0,23.7,57.9000015258789,46.6,3.0,0.0,17.0,86.0,1.0,1.0,Whitehorse,0.42,4,1,1,2
BOX HILL NORTH,245.0,12337.0,2.0,0.0,1.0,3.0,747.0,0.9632,364.0,1834.0,1682.0,418.0,173.0,4470.0,8.1,63.5,34.5,0.0,0.0,10.0,57.0,,,Whitehorse,0.24,3,2,2,0
BOX HILL SOUTH,65.0,8491.0,2.0,0.0,0.0,2.0,788.0,0.9031,227.0,1216.0,1170.0,319.0,157.0,3084.0,7.4,65.0999984741211,26.2,1.0,0.0,6.0,52.0,,,Whitehorse,0.24,1,1,1,0
BRAESIDE,0.0,25.0,2.0,2.0,1.0,5.0,871.0,2.1429,0.0,6.0,11.0,0.0,0.0,16.0,0.0,75.0,52.0,0.0,0.0,6.0,34.0,,,Kingston (Vic.),200.0,0,0,0,0
BRAYBROOK,216.0,9682.0,2.0,1.0,1.0,4.0,622.0,1.0366,425.0,1399.0,1052.0,314.0,136.0,3331.0,12.8,58.4000015258789,27.3,0.0,0.0,5.0,44.0,,,Maribyrnong,0.41,6,4,2,2
BRIDGE CREEK,2.0,117.0,2.0,0.0,0.0,2.0,736.0,0.8889,0.0,9.0,15.0,6.0,9.0,42.0,0.0,68.0,47.9,0.0,0.0,0.0,0.0,,,Murrindindi,17.09,0,0,0,0
BURWOOD,347.0,15147.0,2.0,0.0,1.0,3.0,681.0,0.9247,585.0,2148.0,1940.0,514.0,203.0,5392.0,10.8,60.9000015258789,25.0,15.0,0.0,7.0,59.0,,,Monash,0.2,3,1,1,0
CAMBERWELL,511.0,21965.0,2.0,0.0,4.0,6.0,1043.0,0.8867,478.0,3102.0,3031.0,833.0,403.0,7856.0,6.1,62.2000007629395,31.9,36.0,0.0,3.0,53.0,5.0,3.0,Boroondara,0.27,4,2,2,2
CAMPBELLFIELD,173.0,4977.0,2.0,1.0,3.0,6.0,444.0,1.0794,132.0,594.0,504.0,199.0,126.0,1554.0,8.5,41.4000015258789,19.1,0.0,0.0,7.0,41.0,1.0,1.0,Hume,1.21,1,1,1,0
CAMPERDOWN,24.0,3354.0,2.0,0.0,0.0,2.0,628.0,0.9427,101.0,504.0,512.0,180.0,93.0,1388.0,7.3,51.0999984741211,41.9,0.0,1.0,1.0,1.0,,,Colac Otway,0.6,3,1,1,1
CAPEL SOUND,0.0,5246.0,2.0,1.0,0.0,3.0,558.0,0.8566,192.0,1183.0,680.0,161.0,66.0,2286.0,8.4,37.2999992370606,43.3,0.0,0.0,2.0,36.0,,,Mornington Peninsula,0.57,1,1,1,0
CARLSRUHE,32.0,382.0,2.0,1.0,0.0,3.0,784.0,0.8786,0.0,24.0,50.0,24.0,33.0,127.0,0.0,60.5999984741211,42.4,0.0,0.0,0.0,0.0,,,Moorabool,7.85,0,0,0,0
CASTERTON,16.0,1673.0,2.0,0.0,0.0,2.0,523.0,0.8925,47.0,276.0,242.0,103.0,72.0,742.0,6.3,43.7999992370606,43.7,0.0,0.0,1.0,4.0,,,Glenelg,1.2,3,2,2,1
CAULFIELD NORTH,46.0,16903.0,1.0,0.0,4.0,5.0,1144.0,0.9229,659.0,3017.0,2283.0,480.0,249.0,6687.0,9.9,65.8000030517578,19.0,0.0,0.0,4.0,32.0,,,Glen Eira,0.3,2,2,1,1
CHELSEA HEIGHTS,178.0,5393.0,2.0,1.0,0.0,3.0,805.0,0.9291,75.0,653.0,872.0,245.0,115.0,1969.0,3.8,64.5,34.5,0.0,0.0,4.0,41.0,,,Kingston (Vic.),0.56,1,1,1,0
CLAYTON SOUTH,27.0,13381.0,2.0,0.0,1.0,3.0,685.0,1.0672,426.0,1996.0,1571.0,498.0,210.0,4700.0,9.1,60.9000015258789,20.1,0.0,0.0,9.0,70.0,1.0,1.0,Kingston (Vic.),0.22,5,3,4,1
CLIFTON SPRINGS,8.0,7646.0,2.0,0.0,0.0,2.0,683.0,0.9483,54.0,1108.0,1343.0,432.0,214.0,3145.0,1.7,56.2999992370606,46.3,0.0,0.0,2.0,34.0,,,Greater Geelong,0.26,1,1,1,0
COIMADAI,22.0,409.0,2.0,0.0,0.0,2.0,794.0,1.0,3.0,17.0,55.0,38.0,35.0,137.0,2.2,65.0999984741211,27.9,0.0,0.0,0.0,0.0,,,Melton,4.89,1,1,1,0
COLAC EAST,21.0,168.0,2.0,2.0,0.0,4.0,850.0,0.9767,0.0,24.0,16.0,11.0,8.0,65.0,0.0,57.0,32.7,0.0,0.0,0.0,0.0,,,Colac Otway,23.81,0,0,0,0
COOLAROO,0.0,3193.0,2.0,1.0,1.0,4.0,440.0,1.0101,91.0,392.0,337.0,126.0,57.0,1002.0,9.1,39.2999992370606,13.6,0.0,0.0,6.0,40.0,1.0,1.0,Hume,1.25,2,1,1,0
CRANBOURNE EAST,17.0,24679.0,2.0,0.0,0.0,2.0,773.0,0.9665,195.0,2163.0,3301.0,985.0,438.0,7088.0,2.8,65.4000015258789,20.2,0.0,0.0,8.0,60.0,,,Frankston,0.08,6,4,3,1
CRANBOURNE SOUTH,97.0,3241.0,2.0,0.0,0.0,2.0,979.0,0.9805,7.0,192.0,461.0,206.0,179.0,1045.0,0.7,70.9000015258789,35.3,0.0,0.0,2.0,8.0,,,Frankston,0.62,1,1,1,0
DANDENONG NORTH,792.0,22550.0,2.0,0.0,1.0,3.0,605.0,1.0249,433.0,2566.0,2838.0,1015.0,553.0,7401.0,5.9,54.0,13.4,0.0,0.0,10.0,108.0,,,Casey,0.13,5,3,4,1
DEDERANG,2.0,198.0,2.0,0.0,0.0,2.0,790.0,1.1183,0.0,12.0,26.0,14.0,14.0,67.0,0.0,66.5,39.4,0.0,0.0,0.0,0.0,,,Albury,10.1,1,1,1,0
DELACOMBE,0.0,5408.0,2.0,0.0,0.0,2.0,652.0,0.8857,95.0,712.0,772.0,268.0,158.0,2011.0,4.7,56.2000007629395,42.3,0.0,0.0,2.0,27.0,,,Ballarat,0.37,2,1,2,0
DENISON,21.0,453.0,2.0,0.0,0.0,2.0,839.0,1.0089,0.0,21.0,53.0,35.0,29.0,140.0,0.0,65.0,30.5,0.0,0.0,0.0,0.0,,,Mansfield,4.42,0,0,0,0
DERRIMUT,149.0,8651.0,2.0,0.0,0.0,2.0,851.0,1.0102,52.0,496.0,1150.0,390.0,198.0,2284.0,2.3,68.4000015258789,16.2,0.0,0.0,2.0,23.0,,,Wyndham,0.23,2,1,2,0
DOREEN,94.0,27122.0,2.0,0.0,0.0,2.0,928.0,0.9496,127.0,2344.0,4324.0,1230.0,635.0,8668.0,1.5,72.6999969482422,33.0,0.0,0.0,4.0,90.0,,,Nillumbik,0.07,6,4,4,0
EAGLEMONT,26.0,3960.0,2.0,0.0,0.0,2.0,1153.0,0.958,53.0,426.0,605.0,231.0,98.0,1412.0,3.8,64.9000015258789,29.8,0.0,0.0,1.0,6.0,1.0,1.0,Banyule,0.51,0,0,0,0
EAST GEELONG,191.0,4012.0,2.0,1.0,0.0,3.0,943.0,0.9031,96.0,689.0,645.0,151.0,82.0,1669.0,5.8,67.4000015258789,40.8,0.0,0.0,7.0,35.0,,,Greater Geelong,0.75,1,1,0,1
EDENHOPE,6.0,937.0,2.0,0.0,0.0,2.0,575.0,0.952,20.0,136.0,153.0,55.0,34.0,403.0,5.0,49.0999984741211,38.8,0.0,0.0,0.0,0.0,,,West Wimmera,2.13,2,1,1,0
ELMORE,12.0,847.0,2.0,0.0,0.0,2.0,540.0,0.9812,8.0,130.0,123.0,51.0,27.0,343.0,2.3,43.7999992370606,38.1,0.0,1.0,1.0,2.0,,,Campaspe,2.36,2,1,2,0
ELTHAM NORTH,27.0,6830.0,2.0,0.0,0.0,2.0,1027.0,0.9703,14.0,363.0,1120.0,403.0,275.0,2176.0,0.6,70.0999984741211,39.5,0.0,0.0,4.0,24.0,,,Banyule,0.29,4,3,3,1
ENDEAVOUR HILLS,87.0,24455.0,2.0,0.0,1.0,3.0,677.0,1.0064,264.0,2102.0,3528.0,1311.0,717.0,7931.0,3.3,59.0999984741211,14.8,0.0,0.0,6.0,128.0,,,Casey,0.12,10,7,7,1
EYNESBURY,31.0,2838.0,3.0,0.0,0.0,3.0,1132.0,0.964,6.0,164.0,515.0,155.0,55.0,888.0,0.7,76.9000015258789,36.4,0.0,0.0,1.0,13.0,,,Wyndham,1.06,1,1,1,0
FERNTREE GULLY,239.0,27398.0,2.0,0.0,1.0,3.0,791.0,0.9651,442.0,3348.0,4234.0,1362.0,791.0,10179.0,4.3,64.8000030517578,35.7,0.0,0.0,7.0,135.0,1.0,1.0,Casey,0.11,9,6,6,1
FRANKSTON SOUTH,434.0,18801.0,2.0,1.0,0.0,3.0,862.0,0.9278,270.0,2006.0,2969.0,989.0,512.0,6745.0,4.0,62.7000007629395,43.4,0.0,0.0,11.0,65.0,,,Frankston,0.16,3,2,2,1
GHERINGHAP,0.0,132.0,2.0,0.0,0.0,2.0,739.0,1.0303,0.0,3.0,14.0,14.0,13.0,45.0,0.0,54.2999992370606,31.8,0.0,0.0,2.0,2.0,,,Golden Plains,15.15,0,0,0,0
GORDON,25.0,1393.0,2.0,0.0,0.0,2.0,844.0,0.9717,6.0,102.0,207.0,112.0,55.0,478.0,1.3,63.7999992370606,38.7,0.0,0.0,0.0,0.0,,,Moorabool,1.44,2,1,2,0
GREAT WESTERN,6.0,425.0,2.0,0.0,0.0,2.0,714.0,1.0529,5.0,45.0,74.0,29.0,24.0,173.0,2.9,58.0999984741211,44.9,0.0,0.0,1.0,2.0,,,Ararat,4.71,1,1,1,0
HADFIELD,245.0,6269.0,2.0,0.0,0.0,2.0,697.0,0.9612,196.0,954.0,822.0,210.0,138.0,2321.0,8.4,56.9000015258789,19.5,0.0,0.0,5.0,39.0,1.0,1.0,Moreland,0.32,1,0,1,0
HALLS GAP,9.0,495.0,2.0,0.0,0.0,2.0,797.0,1.1798,9.0,75.0,68.0,17.0,14.0,176.0,5.1,58.9000015258789,40.2,0.0,0.0,1.0,9.0,,,Ararat,4.04,1,1,1,0
HATTAH,17.0,27.0,2.0,0.0,0.0,2.0,599.0,1.6667,0.0,5.0,4.0,0.0,0.0,14.0,0.0,38.5,63.0,0.0,0.0,1.0,1.0,,,Swan Hill,74.07,0,0,0,0
HAVEN,28.0,1443.0,2.0,2.0,0.0,4.0,912.0,1.0656,0.0,50.0,196.0,126.0,99.0,472.0,0.0,72.4000015258789,43.0,0.0,0.0,1.0,6.0,,,Northern Grampians,2.77,0,0,0,0
HAWTHORN,353.0,22322.0,2.0,0.0,2.0,4.0,1207.0,0.9329,1368.0,4874.0,2541.0,570.0,247.0,9607.0,14.2,70.5999984741211,34.3,77.0,0.0,4.0,24.0,2.0,1.0,Boroondara,0.18,8,3,4,1
HAZELWOOD NORTH,6.0,1552.0,2.0,0.0,0.0,2.0,855.0,1.0846,4.0,59.0,205.0,109.0,141.0,523.0,0.8,64.0999984741211,39.6,0.0,0.0,3.0,7.0,,,Latrobe (Vic.),1.29,1,1,1,0
HEYFIELD,9.0,2050.0,2.0,0.0,0.0,2.0,530.0,1.045,35.0,264.0,270.0,112.0,83.0,772.0,4.5,46.5,39.7,0.0,0.0,0.0,0.0,,,Mansfield,0.98,2,1,2,0
HIGHETT,0.0,12016.0,2.0,0.0,3.0,5.0,1026.0,0.9067,305.0,2154.0,1840.0,329.0,144.0,4774.0,6.4,68.4000015258789,34.3,0.0,0.0,8.0,47.0,1.0,1.0,Kingston (Vic.),0.42,1,0,1,0
INVERMAY PARK,41.0,1692.0,2.0,0.0,0.0,2.0,749.0,0.9077,17.0,182.0,286.0,104.0,60.0,645.0,2.6,60.9000015258789,44.7,0.0,0.0,2.0,15.0,,,Ballarat,1.18,0,0,0,0
IVANHOE EAST,138.0,3762.0,2.0,1.0,0.0,3.0,1191.0,0.965,44.0,417.0,573.0,202.0,114.0,1349.0,3.3,66.5,29.0,0.0,0.0,2.0,18.0,,,Banyule,0.8,1,1,1,0
JAMIESON,1.0,382.0,2.0,0.0,0.0,2.0,495.0,1.0595,0.0,55.0,67.0,13.0,12.0,145.0,0.0,32.5999984741211,39.3,0.0,0.0,0.0,0.0,,,Murrindindi,5.24,1,1,1,0
KEALBA,0.0,3226.0,2.0,0.0,0.0,2.0,658.0,0.9767,38.0,369.0,456.0,166.0,88.0,1111.0,3.4,57.9000015258789,15.4,0.0,0.0,3.0,20.0,,,Brimbank,0.62,1,0,1,0
KENSINGTON,92.0,10745.0,2.0,0.0,2.0,4.0,1246.0,0.9517,791.0,2549.0,1111.0,176.0,46.0,4676.0,16.9,74.6999969482422,30.3,14.0,0.0,2.0,12.0,2.0,2.0,Moonee Valley,0.37,3,2,2,1
KEW EAST,0.0,6620.0,2.0,0.0,2.0,4.0,1043.0,0.9595,100.0,825.0,1008.0,256.0,141.0,2337.0,4.3,66.1999969482422,27.5,43.0,0.0,6.0,33.0,,,Boroondara,0.6,3,2,2,1
KIALLA,173.0,8667.0,2.0,1.0,0.0,3.0,846.0,0.9675,43.0,633.0,1308.0,537.0,293.0,2810.0,1.5,65.5999984741211,34.7,0.0,0.0,1.0,24.0,,,Strathbogie,0.35,2,1,1,0
KIEWA,3.0,483.0,2.0,0.0,0.0,2.0,897.0,0.9398,0.0,20.0,68.0,26.0,26.0,145.0,0.0,67.1999969482422,38.3,0.0,0.0,0.0,0.0,,,Albury,4.14,0,0,0,0
KILMORE EAST,0.0,450.0,2.0,0.0,0.0,2.0,823.0,0.961,0.0,19.0,54.0,41.0,24.0,143.0,0.0,60.7999992370606,41.8,0.0,1.0,0.0,0.0,,,Macedon Ranges,4.44,0,0,0,0
KINGSBURY,0.0,3460.0,2.0,0.0,1.0,3.0,617.0,1.0546,165.0,555.0,424.0,111.0,63.0,1317.0,12.5,60.2999992370606,18.6,13.0,0.0,3.0,16.0,,,Darebin,0.87,2,1,2,0
KOO WEE RUP,41.0,4047.0,2.0,1.0,0.0,3.0,809.0,0.9345,50.0,356.0,575.0,231.0,162.0,1370.0,3.6,66.1999969482422,42.8,0.0,0.0,1.0,1.0,,,Baw Baw,0.74,3,2,2,1
KOONDROOK,9.0,1101.0,2.0,0.0,0.0,2.0,538.0,1.0599,13.0,132.0,176.0,76.0,40.0,444.0,2.9,46.9000015258789,38.6,0.0,0.0,1.0,1.0,,,Gannawarra,1.82,1,1,1,0
LAKE BOGA,0.0,982.0,2.0,0.0,0.0,2.0,746.0,1.0649,7.0,84.0,158.0,68.0,32.0,343.0,2.0,58.5999984741211,42.0,0.0,0.0,1.0,2.0,,,Swan Hill,2.04,1,1,1,0
LANGWARRIN SOUTH,46.0,1346.0,2.0,0.0,0.0,2.0,859.0,1.0424,0.0,34.0,131.0,115.0,112.0,394.0,0.0,70.3000030517578,42.9,0.0,0.0,1.0,10.0,,,Frankston,1.49,2,0,0,0
LEARMONTH,10.0,396.0,2.0,1.0,0.0,3.0,731.0,1.0785,5.0,42.0,57.0,34.0,18.0,152.0,3.3,66.0999984741211,33.1,0.0,0.0,0.0,0.0,,,Corangamite,7.58,0,0,0,0
LEITCHVILLE,21.0,576.0,2.0,0.0,0.0,2.0,603.0,1.1176,6.0,67.0,71.0,43.0,34.0,227.0,2.6,59.7000007629395,49.1,0.0,0.0,1.0,1.0,,,Loddon,3.47,1,1,1,0
LONGWARRY NORTH,35.0,230.0,2.0,1.0,0.0,3.0,526.0,1.4681,3.0,30.0,22.0,16.0,11.0,87.0,3.4,44.0999984741211,43.0,0.0,0.0,0.0,0.0,,,Cardinia,13.04,0,0,0,0
LUCKNOW,3.0,1439.0,2.0,0.0,0.0,2.0,708.0,0.989,12.0,154.0,205.0,76.0,65.0,517.0,2.3,56.5999984741211,41.7,0.0,0.0,2.0,4.0,,,East Gippsland,1.39,0,0,0,0
LYNDHURST,463.0,8926.0,2.0,0.0,0.0,2.0,955.0,1.0088,49.0,580.0,1294.0,391.0,166.0,2468.0,2.0,73.9000015258789,19.2,0.0,0.0,4.0,18.0,,,Greater Dandenong,0.22,1,1,1,0
MAINDAMPLE,0.0,239.0,2.0,0.0,0.0,2.0,696.0,1.2018,3.0,8.0,42.0,18.0,11.0,83.0,3.6,66.5,46.0,0.0,0.0,1.0,2.0,,,Murrindindi,8.37,0,0,0,0
MARONG,29.0,2005.0,2.0,1.0,0.0,3.0,900.0,1.003,0.0,120.0,320.0,135.0,72.0,645.0,0.0,73.0,41.4,0.0,0.0,1.0,2.0,,,Mount Alexander,1.5,1,1,1,0
MARYSVILLE,44.0,501.0,2.0,0.0,0.0,2.0,597.0,1.0962,3.0,98.0,77.0,22.0,16.0,221.0,1.4,45.9000015258789,39.7,0.0,0.0,1.0,2.0,,,Yarra Ranges,3.99,1,1,1,0
MARYVALE,0.0,43.0,2.0,0.0,0.0,2.0,630.0,0.8636,0.0,3.0,4.0,4.0,3.0,17.0,0.0,61.5,51.2,0.0,0.0,0.0,0.0,,,Latrobe (Vic.),46.51,0,0,0,0
MENTONE,311.0,13197.0,2.0,1.0,1.0,4.0,981.0,0.9012,421.0,2493.0,2026.0,430.0,225.0,5599.0,7.5,66.6999969482422,35.9,0.0,0.0,7.0,60.0,1.0,1.0,Kingston (Vic.),0.3,8,3,3,3
MERBEIN,3.0,2770.0,2.0,0.0,0.0,2.0,608.0,0.98,57.0,336.0,374.0,169.0,82.0,1017.0,5.6,52.2999992370606,43.9,0.0,0.0,2.0,24.0,,,Mildura,0.72,2,1,1,0
MERBEIN SOUTH,16.0,407.0,2.0,0.0,0.0,2.0,639.0,1.0609,0.0,18.0,53.0,38.0,30.0,140.0,0.0,63.9000015258789,36.6,0.0,0.0,0.0,0.0,,,Mildura,4.91,0,0,0,0
MERRIJIG,0.0,721.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,Murrindindi,2.77,1,1,1,0
MIEPOLL,0.0,223.0,2.0,0.0,0.0,2.0,575.0,1.2,0.0,15.0,25.0,20.0,15.0,74.0,0.0,47.4000015258789,39.0,0.0,0.0,0.0,0.0,,,Murrindindi,8.97,0,0,0,0
MOORABBIN,0.0,6287.0,2.0,0.0,0.0,2.0,939.0,0.9681,175.0,940.0,944.0,242.0,79.0,2380.0,7.4,65.5999984741211,27.7,0.0,0.0,9.0,55.0,1.0,1.0,Kingston (Vic.),0.32,4,3,3,0
MOOROOPNA,4.0,8312.0,2.0,2.0,0.0,4.0,634.0,0.9627,223.0,1283.0,1099.0,419.0,188.0,3215.0,6.9,50.5,38.0,0.0,1.0,4.0,66.0,,,Greater Shepparton,0.48,4,3,4,0
MURCHISON EAST,14.0,140.0,2.0,0.0,0.0,2.0,531.0,1.3934,9.0,16.0,18.0,8.0,12.0,69.0,13.0,38.0999984741211,45.0,0.0,1.0,1.0,1.0,,,Strathbogie,14.29,0,0,0,0
MURRUMBEENA,222.0,9996.0,2.0,0.0,0.0,2.0,1035.0,0.9629,376.0,1820.0,1378.0,303.0,151.0,4035.0,9.3,71.0,26.0,0.0,0.0,9.0,51.0,1.0,1.0,Glen Eira,0.2,2,1,2,0
NAGAMBIE,10.0,2254.0,2.0,0.0,0.0,2.0,675.0,0.9798,48.0,362.0,323.0,119.0,73.0,927.0,5.2,51.5999984741211,39.8,0.0,1.0,1.0,3.0,,,Greater Shepparton,0.89,2,1,2,0
NAR NAR GOON,58.0,1023.0,2.0,1.0,0.0,3.0,776.0,1.0099,8.0,70.0,128.0,80.0,62.0,348.0,2.3,68.4000015258789,38.7,0.0,1.0,0.0,0.0,,,Cardinia,2.93,2,1,2,0
NARRE WARREN SOUTH,468.0,30909.0,2.0,0.0,0.0,2.0,749.0,0.9977,145.0,1740.0,3857.0,1735.0,1168.0,8651.0,1.7,67.0,21.6,0.0,0.0,10.0,110.0,,,Casey,0.06,5,3,3,0
NATHALIA,31.0,1982.0,2.0,3.0,0.0,5.0,628.0,1.0051,52.0,245.0,276.0,130.0,84.0,789.0,6.6,55.2000007629395,44.5,0.0,0.0,1.0,2.0,,,Moira,2.52,4,2,2,2
NORLANE,162.0,8682.0,2.0,0.0,2.0,4.0,494.0,0.9508,576.0,1577.0,899.0,280.0,121.0,3456.0,16.7,44.7000007629395,29.0,0.0,0.0,4.0,45.0,,,Greater Geelong,0.46,1,0,1,0
NORTH BENDIGO,0.0,4277.0,2.0,0.0,0.0,2.0,707.0,0.9314,123.0,728.0,534.0,167.0,91.0,1647.0,7.5,55.5999984741211,38.8,0.0,0.0,3.0,34.0,,,Greater Bendigo,0.47,0,0,0,0
NORTH WANGARATTA,122.0,282.0,2.0,1.0,0.0,3.0,789.0,1.1493,0.0,25.0,44.0,22.0,19.0,112.0,0.0,68.3000030517578,50.0,0.0,0.0,0.0,0.0,,,Moira,10.64,0,0,0,0
NOWA NOWA,11.0,199.0,2.0,0.0,0.0,2.0,558.0,1.3614,6.0,23.0,25.0,14.0,12.0,76.0,7.9,41.7999992370606,40.2,0.0,0.0,2.0,2.0,,,East Gippsland,10.05,0,0,0,0
NYAH,1.0,536.0,2.0,0.0,0.0,2.0,674.0,1.1349,14.0,69.0,83.0,37.0,17.0,219.0,6.4,57.7000007629395,36.0,0.0,0.0,1.0,3.0,,,Swan Hill,3.73,0,0,0,0
OUYEN,10.0,1170.0,2.0,0.0,0.0,2.0,614.0,1.0766,38.0,153.0,172.0,67.0,46.0,471.0,8.1,50.5,36.2,0.0,0.0,1.0,3.0,,,Hindmarsh,1.71,1,1,0,0
OXLEY,9.0,710.0,2.0,1.0,0.0,3.0,909.0,0.9091,3.0,43.0,112.0,44.0,40.0,248.0,1.2,68.0999984741211,41.3,0.0,0.0,1.0,2.0,,,Moira,4.23,1,1,1,0
PANTON HILL,4.0,1063.0,2.0,0.0,0.0,2.0,915.0,0.9398,3.0,55.0,126.0,80.0,85.0,346.0,0.9,66.1999969482422,47.2,0.0,0.0,0.0,0.0,,,Nillumbik,1.88,1,1,1,0
PARKDALE,88.0,12308.0,2.0,0.0,0.0,2.0,974.0,0.8979,269.0,1760.0,1944.0,494.0,263.0,4723.0,5.7,68.0999984741211,39.6,0.0,0.0,4.0,38.0,1.0,1.0,Kingston (Vic.),0.16,2,2,2,0
PARWAN,25.0,188.0,2.0,0.0,0.0,2.0,547.0,1.3659,0.0,6.0,20.0,8.0,14.0,54.0,0.0,52.0999984741211,22.9,0.0,0.0,0.0,0.0,,,Melton,10.64,0,0,0,0
PASCOE VALE SOUTH,365.0,10534.0,2.0,0.0,1.0,3.0,953.0,0.9337,264.0,1363.0,1511.0,399.0,216.0,3751.0,7.0,68.5999984741211,23.4,25.0,0.0,8.0,46.0,,,Moreland,0.28,2,1,1,0
PATTERSON LAKES,0.0,7793.0,2.0,1.0,0.0,3.0,871.0,0.948,139.0,932.0,1297.0,417.0,238.0,3018.0,4.6,65.3000030517578,36.9,0.0,0.0,3.0,29.0,,,Kingston (Vic.),0.38,1,1,1,0
PETERBOROUGH,3.0,322.0,2.0,1.0,0.0,3.0,796.0,1.0927,4.0,48.0,58.0,18.0,10.0,137.0,2.9,59.9000015258789,48.4,0.0,0.0,1.0,3.0,,,Corangamite,9.32,0,0,0,0
PIANGIL,5.0,230.0,2.0,0.0,0.0,2.0,776.0,1.3402,4.0,25.0,29.0,22.0,8.0,88.0,4.5,62.4000015258789,36.1,0.0,0.0,1.0,2.0,,,Swan Hill,8.7,0,0,0,0
PIRIES,3.0,66.0,2.0,0.0,0.0,2.0,743.0,1.0968,0.0,0.0,13.0,0.0,6.0,24.0,0.0,63.2000007629395,56.1,0.0,0.0,0.0,0.0,,,Murrindindi,30.3,0,0,0,0
PIRRON YALLOCK,20.0,132.0,2.0,0.0,0.0,2.0,575.0,1.1111,0.0,5.0,17.0,15.0,12.0,46.0,0.0,55.5999984741211,39.4,0.0,0.0,0.0,0.0,,,Corangamite,15.15,0,0,0,0
PLUMPTON,112.0,79.0,2.0,0.0,0.0,2.0,687.0,1.1081,0.0,4.0,6.0,4.0,8.0,19.0,0.0,56.7000007629395,13.9,0.0,0.0,0.0,0.0,,,Brimbank,25.32,0,0,0,0
PRAHRAN,489.0,12203.0,2.0,0.0,1.0,3.0,1378.0,0.9591,1401.0,3299.0,1205.0,181.0,67.0,6159.0,22.7,75.5999984741211,34.2,16.0,0.0,3.0,19.0,1.0,1.0,Port Phillip,0.25,0,0,0,0
QUARRY HILL,5.0,2365.0,2.0,0.0,0.0,2.0,863.0,0.9172,66.0,423.0,339.0,109.0,58.0,993.0,6.6,68.1999969482422,46.6,0.0,0.0,3.0,19.0,,,Greater Bendigo,0.85,2,1,2,0
RAVENSWOOD,28.0,443.0,2.0,0.0,0.0,2.0,766.0,0.9865,0.0,21.0,62.0,35.0,42.0,155.0,0.0,63.9000015258789,49.4,0.0,0.0,0.0,0.0,,,Greater Bendigo,4.51,0,0,0,0
RAVENSWOOD SOUTH,0.0,76.0,2.0,0.0,0.0,2.0,762.0,1.1429,0.0,6.0,13.0,7.0,6.0,29.0,0.0,60.5999984741211,32.9,0.0,0.0,0.0,0.0,,,Greater Bendigo,26.32,0,0,0,0
REDAN,0.0,3000.0,2.0,1.0,0.0,3.0,654.0,0.8917,155.0,646.0,426.0,121.0,46.0,1389.0,11.2,55.5999984741211,40.6,0.0,0.0,4.0,27.0,,,Ballarat,1.0,1,0,1,0
RICHMOND,0.0,28587.0,2.0,0.0,0.0,2.0,1356.0,0.9441,2567.0,7139.0,2760.0,528.0,134.0,13132.0,19.5,74.8000030517578,32.7,13.0,1.0,1.0,6.0,3.0,9.0,Yarra,0.07,9,6,4,4
ROBINVALE,15.0,3497.0,2.0,2.0,0.0,4.0,615.0,1.0834,86.0,280.0,331.0,155.0,106.0,954.0,9.0,53.0,15.3,0.0,0.0,1.0,1.0,,,Swan Hill,1.14,2,1,0,0
